Biais;Longeur S�pale ;Longeur P�tale;C;Type de Fleurs;
1;6,9;4,9;1;Iris-versicolor;
1;5,1;1,4;0;Iris-setosa;
1;5,2;3,9;1;Iris-versicolor;
1;4,6;1,5;0;Iris-setosa;
1;4,9;3,3;1;Iris-versicolor;
1;5;1,4;0;Iris-setosa;
1;5,7;4,5;1;Iris-versicolor;
1;4,9;1,4;0;Iris-setosa;
1;4,6;1,4;0;Iris-setosa;
1;5;1,5;0;Iris-setosa;
1;4,4;1,4;0;Iris-setosa;
1;7;4,7;1;Iris-versicolor;
1;6,4;4,5;1;Iris-versicolor;
1;5,5;4;1;Iris-versicolor;
1;6,5;4,6;1;Iris-versicolor;
1;5,4;1,7;0;Iris-setosa;
1;6,3;4,7;1;Iris-versicolor;
1;4,9;1,5;0;Iris-setosa;
1;6,6;4,6;1;Iris-versicolor;
1;4,7;1,3;0;Iris-setosa;
